+------------+-----------------------------------------------------------------------+-----------------------------------------------------------------------+--------------------------------------------------+
| start_year | primary_title                                                         | original_title                                                        | character_name                                   |
|       1997 | Telling Lies in America                                               | Telling Lies in America                                               | ["Billy Magic"]                                  |
|       1996 | Sleepers                                                              | Sleepers                                                              | ["Nokes"]                                        |
|       1995 | Apollo 13                                                             | Apollo 13                                                             | ["Jack Swigert"]                                 |
|       1995 | Balto                                                                 | Balto                                                                 | ["Balto"]                                        |
|       1995 | Murder in the First                                                   | Murder in the First                                                   | ["Henri Young"]                                  |
|       1995 | The Making of Apollo 13                                               | The Making of Apollo 13                                               | ["Jack Swigert"]                                 |
|       1994 | The Air Up There                                                      | The Air Up There                                                      | ["Jimmy Dolan"]                                  |
|       1994 | The River Wild                                                        | The River Wild                                                        | ["Wade"]                                         |
|       1992 | A Few Good Men                                                        | A Few Good Men                                                        | ["Capt. Jack Ross"]                              |
|       1991 | A Little Vicious                                                      | A Little Vicious                                                      | ["Narrator"]                                     |
|       1991 | He Said, She Said                                                     | He Said, She Said                                                     | ["Dan Hanson"]                                   |
|       1991 | Pyrates                                                               | Pyrates                                                               | ["Ari"]                                          |
|       1991 | Queens Logic                                                          | Queens Logic                                                          | ["Dennis"]                                       |
|       1990 | Flatliners                                                            | Flatliners                                                            | ["David Labraccio"]                              |
|       1990 | Tremors                                                               | Tremors                                                               | ["Valentine McKee"]                              |
|       1989 | The Big Picture                                                       | The Big Picture                                                       | ["Nick Chapman"]                                 |
|       1988 | Criminal Law                                                          | Criminal Law                                                          | ["Martin Thiel"]                                 |
|       1988 | Lemon Sky                                                             | Lemon Sky                                                             | ["Alan"]                                         |
|       1988 | She's Having a Baby                                                   | She's Having a Baby                                                   | ["Jake Briggs"]                                  |
|       1987 | End of the Line                                                       | End of the Line                                                       | ["Everett"]                                      |
|       1987 | White Water Summer                                                    | White Water Summer                                                    | ["Vic"]                                          |
|       1986 | Quicksilver                                                           | Quicksilver                                                           | ["Jack Casey"]                                   |
|       1984 | Footloose                                                             | Footloose                                                             | ["Ren"]                                          |
|       1984 | Mister Roberts                                                        | Mister Roberts                                                        | ["Ens. Frank Pulver"]                            |
|       1983 | Enormous Changes at the Last Minute                                   | Enormous Changes at the Last Minute                                   | ["Dennis"]                                       |
|       1983 | The Demon Murder Case                                                 | The Demon Murder Case                                                 | ["Kenny Miller"]                                 |
|       1982 | Diner                                                                 | Diner                                                                 | ["Timothy Fenwick Jr."]                          |
|       1982 | Episode dated 11 March 1982                                           | Episode dated 11 March 1982                                           | ["Comsat Angels"]                                |
|       1982 | Forty Deuce                                                           | Forty Deuce                                                           | ["Ricky"]                                        |
|       1981 | Episode dated 1 October 1981                                          | Episode dated 1 October 1981                                          | ["Tim Werner"]                                   |
|       1981 | Episode dated 24 December 1981                                        | Episode dated 24 December 1981                                        | ["Tim Werner"]                                   |
|       1981 | Episode dated 27 January 1981                                         | Episode dated 27 January 1981                                         | ["Tim Werner"]                                   |
|       1981 | Episode dated 31 July 1981                                            | Episode dated 31 July 1981                                            | ["Tim Werner"]                                   |
|       1981 | Surprise Witness                                                      | Surprise Witness                                                      | ["Tim Werner"]                                   |
|       1981 | The Comsat Angels Live 12-12-1981                                     | The Comsat Angels Live 12-12-1981                                     | ["Bass"]                                         |
|       1980 | Episode #1.8319                                                       | Episode #1.8319                                                       | ["Tim Werner"]                                   |
|       1980 | Episode #1.8320                                                       | Episode #1.8320                                                       | ["Tim Werner"]                                   |
|       1980 | Episode #1.8402                                                       | Episode #1.8402                                                       | ["Tim Werner"]                                   |
|       1979 | The Gift                                                              | The Gift                                                              | ["Teddy"]                                        |
|       NULL | You Should Have Left                                                  | You Should Have Left                                                  | NULL                                             |
+------------+-----------------------------------------------------------------------+-----------------------------------------------------------------------+--------------------------------------------------+
